기관명,주소,위도,경도,카테고리_대,카테고리_소
서울브레인신경과의원,"서울특별시 강남구 논현로159길 17 , 삼화빌딩 3층 301호  (신사동)",37.52290662,127.0266294,병원,의원
서울브이아이피(VIP)요양병원,"서울특별시 구로구 경인로 297, 오류빌딩 (개봉동)",37.49797129,126.8535338,병원,요양병원
서울블랑치과의원,"서울특별시 구로구 디지털로 243, 지하이시티 202호 (구로동)",37.48199214,126.8923489,병원,치과의원
서울비29이비인후과의원,"서울특별시 강남구 논현로 570, 부봉빌딩 2층 (역삼동)",37.5071297,127.0342783,병원,의원
서울비뇨기과의원,"서울특별시 관악구 남부순환로 1832-0, 8층 (봉천동, 삼한빌딩)",37.48070457,126.9534959,병원,의원
서울비뇨기과의원,"서울특별시 강서구 강서로 385, 우성에스비타워 10층 1006,7호 (마곡동)",37.56054375,126.8384273,병원,의원
서울비뇨기과의원,"서울특별시 종로구 지봉로 37-1, 7층 (창신동)",37.57326005,127.0153364,병원,의원
서울비뇨기과의원,"서울특별시 마포구 새창로 11, 6층 (도화동)",37.54246934,126.9513258,병원,의원
서울손길담은치과의원,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 B동 2층 222, 223호 (문정동)",37.48683143,127.120454,병원,치과의원
서울비뇨기과의원,"서울특별시 노원구 노해로 492 (상계동, 프린스빌딩)",37.65445591,127.0626769,병원,의원
서울비뇨기과의원,"서울특별시 은평구 연서로 222, 8층 (대조동)",37.61815355,126.9203582,병원,의원
서울비전내과의원,"서울특별시 마포구 월드컵북로 25, 강원특별자치도민회관 2층 (서교동)",37.55664541,126.9191817,병원,의원
서울비커밍여성의원,"서울특별시 은평구 통일로 861, 11,12층 (갈현동)",37.61980506,126.9202322,병원,의원
서울수이비인후과의원,"서울특별시 동대문구 왕산로 171, 4층 (제기동)",37.57948481,127.0421004,병원,의원
서울비케이치과의원,"서울특별시 성북구 장월로38길 4, 타워39 4층 (장위동)",37.61800266,127.0515499,병원,치과의원
서울조은치과의원,"서울특별시 노원구 노원로22길 71 (중계동, 건영3차아파트)",37.64858676,127.0742961,병원,치과의원
서울빛드림안과의원,"서울특별시 용산구 한강대로 259, 고려에이트리움 203,204,205호 (갈월동)",37.54158425,126.9724128,병원,의원
서울빛안과의원,"서울특별시 도봉구 도봉로 476, 삼성쉐르빌퍼스티 2층 207, 211호 (창동)",37.64774685,127.0345771,병원,의원
서울빛정신건강의학과의원,"서울특별시 강남구 테헤란로 313, 성지하이츠1 2층 201~204호 (역삼동)",37.50380165,127.0452612,병원,의원
서울빛치과의원,"서울특별시 성동구 용답중앙15길 13, 3층 (용답동)",37.56475366,127.0537827,병원,치과의원
서울뿌리깊은치과의원,"서울특별시 마포구 월드컵북로 167, 2층 (성산동, 나디빌딩)",37.5670153,126.9097978,병원,치과의원
서울병원,서울특별시 은평구 진흥로 191 (대조동),37.60883081,126.9307397,병원,병원
화곡사랑한의원,"서울특별시 강서구 강서로 208-1, 2층 (화곡동)",37.5446385,126.8378053,병원,한의원
서울사대내과의원,"서울특별시 동대문구 왕산로26길 4, 1층 (용두동)",37.57787215,127.0363078,병원,의원
서울사랑니치과의원,"서울특별시 종로구 종로 19, 르메이에르종로타운1 301-2호 (종로1가)",37.57084449,126.9799237,병원,치과의원
서울사랑요양병원,"서울특별시 도봉구 삼양로 574, 2~5층 (쌍문동)",37.65434713,127.0131712,병원,요양병원
서울인치과의원,서울특별시 강남구 언주로 622,37.51204701,127.0361414,병원,치과의원
서울사랑치과의원,"서울특별시 은평구 연서로 252, 3층 (불광동, 세종빌딩)",37.61945781,126.9229202,병원,치과의원
서울사려깊은치과의원,"서울특별시 강서구 강서로 359-3, 4층 (내발산동)",37.55782008,126.8376673,병원,치과의원
서울산부인과의원,서울특별시 강서구 금낭화로 91-2 (방화동),37.57370723,126.8110767,병원,의원
서울산부인과의원,"서울특별시 노원구 한글비석로 269, 401호 (중계동)",37.65171822,127.0767882,병원,의원
서울삼성내과의원,"서울특별시 동대문구 사가정로 80, 답십리 뉴타운 카운티 에비뉴 4층 (답십리동)",37.57522379,127.0549266,병원,의원
서울삼성내과의원,"서울특별시 종로구 종로 344, 302호 (숭인동, 종로대우디오빌)",37.57272295,127.0160834,병원,의원
서울삼성내과의원,"서울특별시 송파구 백제고분로 126, 오룡빌딩 2층3층4층5층 (잠실동)",37.50613416,127.0807639,병원,의원
서울삼성내과의원,"서울특별시 광진구 자양로 95, 4층 (자양동)",37.53626106,127.0832414,병원,의원
서울삼성내과의원,"서울특별시 용산구 이촌로 206, 국민은행 3~4층 (이촌동)",37.5209641,126.969857,병원,의원
서울삼성내과의원,"서울특별시 노원구 동일로 1547, 3층 (상계동, 시몬빌딩)",37.66658322,127.0570043,병원,의원
서울삼성내과의원,"서울특별시 은평구 서오릉로 203, 2층 (구산동)",37.61379004,126.9108812,병원,의원
서울삼성내과의원,"서울특별시 강서구 양천로 713, 2층 (염창동, 대영빌딩)",37.54984131,126.8752516,병원,의원
서울삼성내과의원,"서울특별시 구로구 구로동로 112-2, 서울삼성내과의원 2,3,4층 (구로동)",37.48866941,126.8848272,병원,의원
서울삼성내과의원,"서울특별시 양천구 등촌로 32, 목동 태영프라자 2층 205~207호 (목동)",37.53288669,126.864165,병원,의원
서울삼성내과의원,"서울특별시 강동구 고덕로 133, 512호 (암사동, 강동롯데캐슬퍼스트아파트 상가동)",37.55523976,127.1403747,병원,의원
서울삼성내과의원,"서울특별시 관악구 양녕로 50, 금강빌딩 6층 (봉천동)",37.48654044,126.9471786,병원,의원
서울삼성내과의원,"서울특별시 중구 통일로 114, 바비엥-2 2층 203-1, 204~208호 (의주로1가)",37.56524197,126.9679327,병원,의원
서울삼성내과의원,"서울특별시 영등포구 도림로 135, 7층 701호 (대림동)",37.49323199,126.8968596,병원,의원
서울삼성내과의원,"서울특별시 강남구 일원로 115, 삼성생명 일원역 빌딩 2층 204-3호 (일원동)",37.48402087,127.0844599,병원,의원
서울삼성본치과의원,"서울특별시 강북구 삼양로 235, 백운메디컬빌딩 3층 301호 (미아동)",37.62435582,127.0182716,병원,치과의원
서울삼성소아청소년과의원,"서울특별시 금천구 시흥대로 399, 시티렉스 4층 409,414호 (독산동)",37.46935918,126.8970019,병원,의원
서울삼성수가정의학과의원,"서울특별시 중랑구 신내로 45, 401호 (신내동)",37.60317677,127.0955872,병원,의원
서울삼성안과의원,"서울특별시 광진구 천호대로 670, 썬-타워빌딩 지하1층, 1층 (구의동)",37.55109074,127.0895889,병원,의원
서울삼성안과의원,서울특별시 강남구 압구정로 432   (청담동),37.5266074,127.04408,병원,의원
서울삼성안과의원,"서울특별시 구로구 경인로 204, 8층 (오류동)",37.49570724,126.8438915,병원,의원
서울삼성여성의원,"서울특별시 송파구 석촌호수로 61, 트리지움 413호 (잠실동)",37.51069605,127.0862248,병원,의원
서울삼성요양병원,"서울특별시 영등포구 선유로 51, 파인그라드빌딩 b1~8층 (문래동6가)",37.51858653,126.8887081,병원,요양병원
서울삼성의원,"서울특별시 송파구 가락로 214, 2층 201호 (송파동, 창우빌딩)",37.50729351,127.1166384,병원,의원
서울삼성의원,"서울특별시 금천구 금하로 711, 2,5층 (시흥동)",37.45112552,126.9090086,병원,의원
서울삼성재활의학과의원,"서울특별시 종로구 종로 234-1, 2층 (종로5가)",37.57076074,127.0037448,병원,의원
서울삼성정형외과의원,"서울특별시 광진구 면목로 128, 2층 (중곡동)",37.56480161,127.0809301,병원,의원
서울삼성정형외과의원,"서울특별시 강서구 금낭화로 91-2, 대승프라자 2층 (방화동)",37.57363498,126.8109688,병원,의원
서울삼성치과의원,서울특별시 금천구 가산디지털1로 165,37.48022756,126.8810275,병원,치과의원
서울삼성치과의원,"서울특별시 양천구 목동동로 59, 로얄프라자 4층 (신정동)",37.5150511,126.8616184,병원,치과의원
서울삼성치과의원,"서울특별시 송파구 올림픽로35다길 42, 201호 (신천동, 한국루터회관)",37.51525352,127.1030689,병원,치과의원
서울삼성치과의원,"서울특별시 은평구 서오릉로 203, 2층 (구산동)",37.6137968,126.910878,병원,치과의원
서울삼성치과의원,"서울특별시 성동구 행당로 84, 308호 (행당동, 한진상가)",37.55656776,127.0287459,병원,치과의원
서울삼성치과의원,"서울특별시 관악구 남부순환로 1942, 4층 (봉천동)",37.47639571,126.9645086,병원,치과의원
서울삼성치과의원,"서울특별시 광진구 뚝섬로 642, 2층 (자양동)",37.53151361,127.0807622,병원,치과의원
서울삼성치과의원,"서울특별시 강북구 오현로 193, 4층 (번동, 한성빌딩 )",37.62897887,127.0393326,병원,치과의원
서울삼양의원,서울특별시 강북구 삼양로 191 (미아동),37.62094695,127.0203936,병원,의원
서울삼육오의원,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-1호 (영등포동8가)",37.52684678,126.9051743,병원,의원
서울상아치과의원,"서울특별시 마포구 도화길 32, 삼성프라자 309호 (도화동)",37.54085321,126.9495926,병원,치과의원
서울상아치과의원,"서울특별시 송파구 오금로 410, 3층 302호 (가락동)",37.49743574,127.1354341,병원,치과의원
서울성심정형외과의원,"서울특별시 용산구 원효로 162, 1층 (원효로2가)",37.53479278,126.9609207,병원,의원
서울새로운피부과의원,"서울특별시 양천구 오목로 279, 현대프라자 4층 401,407호 (목동)",37.52592854,126.8683926,병원,의원
서울새로치과의원,"서울특별시 동작구 보라매로 105, 303,304호 (신대방동)",37.49866314,126.9277733,병원,치과의원
서울새린치과의원,"서울특별시 종로구 종로 266, 동대문종합시장 B동 6층 (종로6가)",37.57070649,127.0073287,병원,치과의원
서울새봄플란트치과의원,"서울특별시 종로구 세종대로 149, 광화문빌딩 15층 1501호 (세종로)",37.56957113,126.9761402,병원,치과의원
서울새한치과의원,"서울특별시 마포구 대흥로 183, 신촌그랑자이 상가 207,208호 (대흥동)",37.55576127,126.9456274,병원,치과의원
서울생생정형외과의원,"서울특별시 영등포구 국제금융로6길 26, 4층 (여의도동, 한국노총)",37.52195361,126.9269725,병원,의원
서울생생정형외과의원,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 11층 1101호 (삼성동)",37.50863401,127.0585917,병원,의원
서울샤인치과의원,"서울특별시 강남구 학동로 433, 씨엔씨빌딩 2층 (청담동)",37.51876207,127.048315,병원,치과의원
서울서이치과의원,"서울특별시 서초구 사임당로 158, 리더스원 상가 507,508호 (서초동)",37.4918503,127.0271768,병원,치과의원
서울석병원,서울특별시 송파구 송이로 148 (가락동),37.49373729,127.1240257,병원,병원
서울석치과의원,"서울특별시 동대문구 이문로 119, 보인빌딩 3층 (이문동)",37.59750288,127.0606852,병원,치과의원
서울선부부치과의원,"서울특별시 서초구 방배로 36 (방배동, 이삭빌딩)",37.47811386,127.0001592,병원,치과의원
서울선샤인치과의원,"서울특별시 영등포구 의사당대로 26, 2층 212,213호 (여의도동)",37.52653714,126.9181067,병원,치과의원
서울선정형외과의원,"서울특별시 양천구 공항대로 630, 201~204호 (목동, 어바니엘)",37.54653588,126.8747139,병원,의원
서울선치과의원,"서울특별시 광진구 능동로 296, 3층 (능동)",37.55603336,127.0792308,병원,치과의원
서울성모OK의원,"서울특별시 은평구 진흥로 103, 기린빌딩 5층 (역촌동)",37.60607337,126.9224064,병원,의원
서울성모내과의원,"서울특별시 서대문구 연희로 85, 3층 (연희동, 인사이드빌딩)",37.56598543,126.9299141,병원,의원
서울성모내과의원,서울특별시 은평구 연서로 146 (대조동),37.61182724,126.9177107,병원,의원
서울성모마취통증의학과의원,서울특별시 동대문구 답십리로66길 95 (장안동),37.56860415,127.0662226,병원,의원
서울성모비앤피(BNP)의원,"서울특별시 서초구 언남1길 3, 2층 (양재동)",37.47221559,127.0407243,병원,의원
서울성모샘의원,"서울특별시 강서구 곰달래로 170, 정일빌딩 3,4,5,6층 (화곡동)",37.53068395,126.851611,병원,의원
서울성모신경외과의원,"서울특별시 강남구 학동로 206, 동화빌딩 4층 (논현동)",37.5139026,127.0315217,병원,의원
서울성모의원,"서울특별시 중구 마장로9길 34, 2층 (황학동)",37.5699149,127.0197458,병원,의원
서울성모의원,서울특별시 광진구 아차산로 220 (자양동),37.54060588,127.0677098,병원,의원
서울성모의원,"서울특별시 성북구 돌곶이로 59, 3층 (석관동)",37.60894017,127.0586612,병원,의원
서울성모이비인후과의원,"서울특별시 동대문구 전농로 102 (답십리동, 목련빌딩 101호)",37.57404489,127.0579453,병원,의원
서울성모이비인후과의원,"서울특별시 성동구 왕십리로 410, 센트라스 상가 L동 3층 305호 (하왕십리동, 센트라스)",37.564784,127.0292675,병원,의원
서울성모이비인후과의원,"서울특별시 동작구 동작대로29길 18, 2층 (사당동)",37.48808736,126.9811417,병원,의원
서울성모이비인후과의원,"서울특별시 관악구 남부순환로 1733, 3층 301, 304호 (봉천동)",37.48255359,126.9427597,병원,의원
서울성모정신건강의학과의원,"서울특별시 강남구 광평로56길 8-13, 수서타워 302, 303호 (수서동)",37.48675589,127.1031738,병원,의원
서울성모정형외과의원,"서울특별시 서초구 잠원로4길 33-2, 잠원동 스타빌딩 5층 (잠원동)",37.51281566,127.0106598,병원,의원
서울성모정형외과의원,"서울특별시 동작구 사당로 234, 3층 (사당동, 호림빌딩)",37.48320835,126.9735249,병원,의원
서울성모정형외과의원,"서울특별시 노원구 한글비석로 471, (주)맥스아웃 상계빌딩 5층 (상계동)",37.66421001,127.0658405,병원,의원
서울성모정형외과의원,"서울특별시 동대문구 한천로 193, 동서울농협 장안동지점 4층 (장안동)",37.57816456,127.0678839,병원,의원
서울성모항정유외과의원,"서울특별시 마포구 월드컵로 75, 비투어타이어빌딩 5층 (망원동)",37.55563229,126.9101544,병원,의원
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.58419129,127.0498381,병원,종합병원
서울성심의원,"서울특별시 성동구 성덕정길 127, 2층 (성수동2가)",37.53674221,127.0575185,병원,의원
서울성심치과의원,"서울특별시 관악구 난곡로 367 (신림동, 경신빌딩)",37.48670096,126.9133541,병원,치과의원
서울성형외과의원,서울특별시 노원구 노해로 482  (상계동),37.65427262,127.0617158,병원,의원
서울세계로병원,"서울특별시 송파구 위례서로 248, 지하1층, 2층, 5~12층 (거여동)",37.48664275,127.1422629,병원,병원
서울세연치과의원,"서울특별시 중구 무교로 15, 남강건설회관빌딩 9층 906호 (무교동)",37.56728187,126.9789217,병원,치과의원
서울세종한의원,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 204호 (가산동)",37.48062559,126.8807326,병원,한의원
서울센텀치과의원,"서울특별시 서초구 강남대로 621, 잠원동 K-TOWER 6층 (잠원동)",37.5171318,127.0187886,병원,치과의원
서울센텀턱구강내과치과의원,"서울특별시 영등포구 국제금융로6길 26, 한국노총 3층 (여의도동)",37.52195469,126.9269736,병원,치과의원
서울센트럴메디케어의원,"서울특별시 강서구 마곡중앙8로5길 11, 마곡파인스퀘어Ⅲ 3층 301~315호 (마곡동)",37.56191009,126.8370984,병원,의원
서울센트럴병원,"서울특별시 관악구 남부순환로 1814, 대연빌딩 3,4,8,9층 (봉천동)",37.48103582,126.9515661,병원,병원
서울센트럴요양병원,서울특별시 영등포구 경인로 767 (문래동3가),37.51394478,126.898656,병원,요양병원
서울센트럴유외과의원,"서울특별시 중구 퇴계로 15, 4층 (남대문로5가)",37.55705641,126.9745641,병원,의원
서울센트럴이비인후과의원,"서울특별시 중구 세종대로 11, 2,3층 6-23,24호 (남대문로5가)",37.55815998,126.9730751,병원,의원
서울센트럴정신건강의학과의원,"서울특별시 중구 세종대로 11, 조광빌딩 5층 (남대문로5가)",37.55817575,126.9730865,병원,의원
서울센트럴치과의원,"서울특별시 영등포구 양평로 116-1, 3층 (양평동4가)",37.53770403,126.8947586,병원,치과의원
서울센트럴치과의원,"서울특별시 중랑구 봉우재로 39, 2층 (면목동)",37.59070817,127.077554,병원,치과의원
서울소나무치과의원,"서울특별시 금천구 시흥대로 225, 3층 301,303호 (시흥동)",37.45378942,126.9004619,병원,치과의원
서울소망의료소비자생활협동조합서울소망의원,서울특별시 동작구 성대로 72 (상도동),37.49778227,126.9344914,병원,의원
서울소아과의원,"서울특별시 양천구 신정로7길 60-5 (신정동, 동일프라자)",37.51263535,126.8381008,병원,의원
서울소아청소년과의원,"서울특별시 강동구 명일로 172 (둔촌동, 둔촌푸르지오아파트)",37.53450026,127.1453009,병원,의원
서초휴가정의학과의원,"서울특별시 서초구 강남대로 455, 302호 (서초동, 강남태영데시앙루브)",37.50285793,127.0245459,병원,의원
서울소아청소년과의원,서울특별시 강서구 양천로69길 11 (염창동),37.55312292,126.8703934,병원,의원
서울소아청소년과의원,"서울특별시 서초구 헌릉로8길 9-8, 404호 (내곡동, 내곡플라자)",37.45668836,127.0599752,병원,의원
서울손내과의원,"서울특별시 강남구 압구정로34길 11, 압구정스퀘어 402호 (신사동)",37.52737814,127.0309753,병원,의원
서울손인내과의원,"서울특별시 동작구 사당로 224, 3층 (사당동)",37.48370188,126.9725478,병원,의원
서울손치과의원,"서울특별시 송파구 마천로5길 6, 가송빌딩 3층 (오금동)",37.50889021,127.1268387,병원,치과의원
서울송내과의원,"서울특별시 중구 을지로 199-2, 2층 (을지로4가)",37.56700092,127.0002219,병원,의원
서울송도병원,"서울특별시 중구 다산로 78, 송도병원 (신당동)",37.5511666,127.0083817,병원,병원
서울송마취통증의학과의원,"서울특별시 용산구 한강대로 92, LS용산타워 지하1층 D3호 (한강로2가)",37.52817593,126.9675227,병원,의원
서울송정신건강의학과의원,"서울특별시 강서구 강서로 385, 우성에스비타워 903,904호 (마곡동)",37.56009309,126.838306,병원,의원
서울송치과의원,"서울특별시 구로구 가마산로 215, 1층 (구로동)",37.49370038,126.8849066,병원,치과의원
서울송파한의원,"서울특별시 송파구 거마로 12, 상형빌딩 3층 (거여동)",37.49390244,127.145002,병원,한의원
서울수락치과의원,"서울특별시 노원구 동일로 1598, 2층 2호 (상계동, 부흥빌딩)",37.67105614,127.0563999,병원,치과의원
서울수면의원,"서울특별시 강남구 논현로 704, 우성 빌딩 2층 (논현동)",37.51460558,127.0307664,병원,의원
서울수소아청소년과의원,"서울특별시 강동구 구천면로 424 (명일동, 명일메가타운)",37.55028512,127.1457205,병원,의원
서울수치과의원,서울특별시 중랑구 겸재로 217 (면목동),37.58944463,127.0917356,병원,치과의원
선이고은한의원,"서울특별시 강남구 언주로 411, 3,5층 (역삼동)",37.4997025,127.0436479,병원,한의원
서울엔도내과의원,"서울특별시 은평구 응암로4길 25-1, 3층 (응암동, 거성빌딩)",37.58715947,126.9170597,병원,의원
서울수치과의원,"서울특별시 은평구 응암로4길 25-1, 4층 (응암동)",37.58712331,126.917018,병원,치과의원
서울수치과의원,서울특별시 강북구 솔샘로 184 (미아동),37.61995872,127.0128511,병원,치과의원
서울수치과의원,"서울특별시 동대문구 신이문로 27, 3층 (이문동)",37.60315837,127.065295,병원,치과의원
서울수치과의원,"서울특별시 서대문구 신촌로35길 10, B123호 (북아현동, e편한세상신촌4단지)",37.5586217,126.9558604,병원,치과의원
서울수치과의원,"서울특별시 송파구 올림픽로 342, 9층 (방이동)",37.5156772,127.1082765,병원,치과의원
서울수치과의원,"서울특별시 관악구 남부순환로 2062, 2층 (남현동)",37.47636515,126.9777725,병원,치과의원
서울수치과의원,"서울특별시 강서구 강서로 43, 도양라비앙타워 5층 501,502,503호 (화곡동)",37.53152152,126.8465317,병원,치과의원
서울수치과의원,"서울특별시 강동구 고덕로 133, 강동롯데캐슬상가 4층 403호 (암사동)",37.55525285,127.1403472,병원,치과의원
서울수치과의원,"서울특별시 영등포구 영등포로 208, 5층 (영등포동4가)",37.5196804,126.9042942,병원,치과의원
서울수치과의원,"서울특별시 강남구 삼성로 212 (대치동, 211-1호)",37.49579786,127.0627417,병원,치과의원
서울수한의원,"서울특별시 서초구 서초대로 3-4, 407호 (방배동, 방배디오슈페리움1)",37.48603207,126.9830849,병원,한의원
서울숙면치과의원,"서울특별시 은평구 응암로 264, 서울빌딩 3층 (응암동)",37.59528885,126.9188749,병원,치과의원
서울숙면치과의원,"서울특별시 강북구 도봉로 342, 3층 (번동)",37.63803455,127.0261287,병원,치과의원
서울순치과의원,"서울특별시 서초구 서초중앙로28길 8, 3층 (서초동)",37.49670127,127.0140364,병원,치과의원
서울순플란트치과의원,"서울특별시 양천구 등촌로 230, 지하1, 3, 4층 (목동, 토마토메디컬센터)",37.55008246,126.8641882,병원,치과의원
서울숭인병원,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",37.57408054,127.0203524,병원,병원
서울숲내과의원,"서울특별시 성동구 왕십리로 50, 지하1층 (성수동1가)",37.54188662,127.0449106,병원,의원
서울원피부과의원,"서울특별시 강남구 도곡로 317, 5층 (역삼동)",37.49586539,127.0506392,병원,의원
서울숲맑은치과의원,"서울특별시 성동구 아차산로 41, 안동빌딩 202호 (성수동1가)",37.5469652,127.0489755,병원,치과의원
서울숲봄정신건강의학과의원,"서울특별시 성동구 아차산로 41, 안동빌딩 2층 (성수동1가)",37.5469652,127.0489755,병원,의원
서울숲삼성안과의원,"서울특별시 성동구 아차산로 41, 안동빌딩 6층 (성수동1가)",37.5469652,127.0489755,병원,의원
서울숲시원마취통증의학과의원,"서울특별시 성동구 상원1길 26, 서울숲A타워 214,215호 (성수동1가)",37.54619435,127.0484323,병원,의원
서울숲요양병원,"서울특별시 강동구 고덕로 295-60, 원케어메디컬타운 (고덕동)",37.5584483,127.1596566,병원,요양병원
서울숲정신건강의학과의원,서울특별시 마포구 양화로 133 서교타워 205호  (서교동),37.55523107,126.9209827,병원,의원
서울숲정의원,"서울특별시 성동구 고산자로2길 67, 서울숲리버뷰자이 상가1동 1202호, 1203일부호 (행당동)",37.55633686,127.0381965,병원,의원
서울스마트본의원,"서울특별시 송파구 오금로 396, 2층 203~204,208호 (가락동, 에스케이허브파크)",37.49795485,127.1342156,병원,의원
서울스마트안과의원,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 2층 207호 (문정동)",37.4846615,127.1209336,병원,의원
서울스마트요양병원,"서울특별시 양천구 중앙로 181, 복합메디컬타운 3~8층 (신정동)",37.51281943,126.8556854,병원,요양병원
서울스마트치과의원,"서울특별시 도봉구 도봉로 461 (쌍문동, 우림빌딩)",37.64705627,127.0333636,병원,치과의원
서울스마트치과의원,"서울특별시 성동구 아차산로 92, 3층 (성수동2가)",37.54475239,127.0542425,병원,치과의원
서울스마트치과의원,"서울특별시 은평구 서오릉로 160, 마성빌딩 2층 (갈현동)",37.61268253,126.9156328,병원,치과의원
서울스마트치과의원,"서울특별시 금천구 두산로 70, 1층 제T-114호 (독산동, 현대지식산업센터)",37.46881439,126.8957372,병원,치과의원
서울스위트치과의원,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 1202호 (신천동)",37.51461528,127.1025221,병원,치과의원
서울스카이정형외과의원,"서울특별시 노원구 동일로 1405, 국민은행노원지점 7층 (상계동)",37.65417906,127.0614347,병원,의원
서울스카이치과의원,"서울특별시 성북구 성북로4길 52, 417동 1208,1209,1210호 (돈암동, 한신한진아파트)",37.59447253,127.012706,병원,치과의원
서울스타병원,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",37.5532304,126.8362276,병원,병원
서울스타의원,"서울특별시 영등포구 가마산로69가길 12, 2층 202호 (신길동)",37.50613078,126.9096069,병원,의원
서울스타일치과의원,"서울특별시 중구 난계로 159, 2층 (황학동)",37.56567785,127.0233444,병원,치과의원
서울스타치과의원,"서울특별시 강남구 도곡로 319, 1층 (역삼동)",37.49590162,127.0508315,병원,치과의원
서울스페셜수면의원,"서울특별시 강남구 논현로 717, 1층일부, 2층~4층 (논현동)",37.51597676,127.0295594,병원,의원
서울슬기로운치과의원,"서울특별시 영등포구 양평로 47, 7층 (당산동5가)",37.53387223,126.9009818,병원,치과의원
서울시민의료소비자생활협동조합서울시민치과의원,"서울특별시 성북구 화랑로42길 48, T M J 빌딩 5층 (석관동)",37.61389053,127.0647459,병원,치과의원
서이비인후과의원,서울특별시 성북구 길음로 20  (길음동),37.60481607,127.022871,병원,의원
서울시원한마취통증의학과의원,"서울특별시 구로구 시흥대로 551, 광희빌딩 6,7층 (구로동)",37.48255852,126.9004817,병원,의원
서울시카고치과의원,"서울특별시 강남구 역삼로 128 (역삼동, 양원빌딩 601호)",37.49397787,127.0337165,병원,치과의원
서울식플란트치과의원,"서울특별시 금천구 시흥대로 211, 2층 (시흥동)",37.45270273,126.9009173,병원,치과의원
서울신경외과의원,"서울특별시 성동구 독서당로 278, B1, 1, 3층 (금호동4가)",37.54713039,127.0202513,병원,의원
서울신길재활의학과의원,"서울특별시 영등포구 신길로 162, 2층 (신길동)",37.50666146,126.9113671,병원,의원
서울신내과의원,"서울특별시 서초구 효령로 279, 3층 (서초동,삼경빌딩)",37.48496915,127.0147937,병원,의원
서울신내의원,서울특별시 중랑구 용마산로 622 (신내동),37.60637239,127.1011723,병원,의원
서울신세계안과의원,"서울특별시 강북구 도봉로 52, 연이빌딩 4,5층 (미아동)",37.61369937,127.0305285,병원,의원
서울심미치과의원,"서울특별시 서초구 강남대로 465, 교보타워 A동 3층 (서초동)",37.50375605,127.0241095,병원,치과의원
서울심치과의원,서울특별시 송파구 마천로57길 8   (마천동),37.49457217,127.152367,병원,치과의원
서울쌍둥이치과의원,"서울특별시 노원구 동일로 1664, 북부농협수락지점 2층 (상계동)",37.67689286,127.0556558,병원,치과의원
서울쏙쏙치과의원,"서울특별시 강서구 공항대로 186, 로뎀타워 206~207, 208호 (마곡동)",37.55909968,126.8279957,병원,치과의원
서울씨엘치과의원,"서울특별시 강남구 테헤란로78길 16, 2층 (대치동, 노벨빌딩)",37.50506156,127.0553384,병원,치과의원
서울아가온여성의원,"서울특별시 구로구 디지털로32길 79, 조영빌딩 6,8층 (구로동)",37.4835328,126.8997522,병원,의원
서울아람치과의원,"서울특별시 동대문구 왕산로 86, 2층 201, 202, 203호 (용두동, 푸르지오시티오피스텔동)",37.57775047,127.0324772,병원,치과의원
서울아르떼치과의원,"서울특별시 송파구 송파대로 558, 3층 306호 (신천동, 월드타워)",37.51509485,127.0997117,병원,치과의원
서초의원,"서울특별시 서초구 강남대로 160-2 (양재동, 라이온스빌딩)",37.47892688,127.0390185,병원,의원
서울아르떼치과의원,"서울특별시 성북구 길음로 33 (길음동,길음래미안8단지상가B동 지하1층 15,15-1,16호)",37.60508329,127.0220786,병원,치과의원
김동규안과의원,"서울특별시 중랑구 사가정로 387, 2층 (면목동)",37.58092644,127.0877337,병원,의원
서울아르케치과의원,"서울특별시 강남구 학동로 411, 6층 (청담동)",37.51809729,127.0447131,병원,치과의원
서울아름다운치과의원,"서울특별시 서대문구 통일로34길 35, 3,4,5,6호 (홍제동, 홍제원현대아파트상가)",37.58630907,126.9497296,병원,치과의원
서울아산김영식의원,"서울특별시 송파구 올림픽로35길 10, B동 2층 214호 (신천동, 파크리오)",37.52031404,127.113265,병원,의원
서울아산내과의원,"서울특별시 강동구 아리수로93나길 60, 골드프라자 4층 403,404,405호 (강일동)",37.57228621,127.1751792,병원,의원
서울아산내과의원,"서울특별시 구로구 신도림로19길 7, 성광빌딩 309,310호 (신도림동)",37.51120135,126.8844685,병원,의원
서울아산내과의원,"서울특별시 중랑구 망우로 403, 3층 (망우동, 삼부빌딩)",37.59942042,127.096896,병원,의원
서울아산다온재활의학과의원,"서울특별시 금천구 디지털로 200, 우리은행 가산IT타워 5층 (가산동)",37.47823963,126.8889601,병원,의원
서울아산류마내과의원,"서울특별시 송파구 올림픽로 362, 201호 (방이동)",37.51638146,127.1103811,병원,의원
힐링산부인과의원,"서울특별시 노원구 노해로 485, 7층 (상계동, 금정빌딩)",37.65487526,127.0619228,병원,의원
